Date,Price,Open,High,Low,Vol.,Change %,Change(2),,,,,
9/6/2024,66.41,68.15,68.6,66.22,4.11M,-2.34%,2.3%,,,,,
9/9/2024,67.72,67.02,68.28,66.94,4.50M,1.97%,2.0%,,,,,
9/10/2024,67.51,67.94,67.94,66.03,4.95M,-0.31%,0.3%,,,,,
9/11/2024,68.1,67.23,68.18,66.01,4.17M,0.87%,0.9%,,,,,
9/12/2024,69.02,68.25,69.1,68.01,4.08M,1.35%,1.4%,,,,,
9/13/2024,68.7,69.36,69.74,68.51,3.62M,-0.46%,0.5%,,,,,
9/16/2024,70.53,69,70.61,69,3.41M,2.66%,2.7%,,,,,
9/17/2024,70.81,70.45,70.92,70.25,3.26M,0.40%,0.4%,,,,,
9/18/2024,71.04,70.72,71.8,70.36,2.97M,0.32%,0.3%,,,,,
9/19/2024,71.72,71.5,71.92,70.6,3.70M,0.96%,1.0%,,,,,
9/20/2024,71.82,71.49,71.96,71.18,8.68M,0.14%,0.1%,,,,,
9/23/2024,72.14,72.87,73.19,72.08,3.64M,0.45%,0.5%,,,,,
9/24/2024,71.82,71.75,72.23,71.37,3.58M,-0.44%,0.4%,,,,,
9/25/2024,72.17,72.13,72.4,71.87,3.73M,0.49%,0.5%,,,,,
9/26/2024,71.5,72.28,72.3,71.49,4.79M,-0.93%,0.9%,,,,,
9/27/2024,71.7,71.67,72.28,71.31,3.31M,0.28%,0.3%,,,,,
9/30/2024,71.86,71.35,72,70.86,5.56M,0.22%,0.2%,,,,,
10/1/2024,71.11,71.68,71.74,70.85,5.15M,-1.04%,1.0%,,,,,
10/2/2024,70.95,71.04,71.46,70.52,5.25M,-0.23%,0.2%,,,,,
10/3/2024,70.82,70.88,71.01,70.41,3.07M,-0.18%,0.2%,,,,,
10/4/2024,71.98,71.54,72.03,71.1,2.36M,1.64%,1.6%,,,,,
10/7/2024,72.44,72,72.73,71.84,3.08M,0.64%,0.6%,,,,,
10/8/2024,73.2,72.69,73.35,72.66,3.79M,1.05%,1.1%,,,,,
10/9/2024,74.02,73.38,74.2,73.26,3.82M,1.12%,1.1%,,,,,
10/10/2024,74.45,73.77,74.47,73.66,4.04M,0.58%,0.6%,,,,,
10/11/2024,74.15,75.22,76.15,72.76,10.11M,-0.40%,0.4%,,,,,
10/14/2024,76.51,74.77,76.61,74.45,5.63M,3.18%,3.2%,,,,,
10/15/2024,76.23,77,77.67,76.15,6.49M,-0.37%,0.4%,,,,,
10/16/2024,77.3,76.31,77.47,76.05,3.34M,1.40%,1.4%,,,,,
10/17/2024,77.75,77.71,78.03,77.38,3.11M,0.58%,0.6%,,,,,
10/18/2024,76.67,77.74,77.75,76.5,4.83M,-1.39%,1.4%,,,,,
10/21/2024,75.88,76.2,76.29,75.63,2.31M,-1.03%,1.0%,,,,,
10/22/2024,75.91,75.66,76.08,75.43,3.11M,0.04%,0.0%,,,,,
10/23/2024,76.37,75.8,76.4,75.68,4.65M,0.61%,0.6%,,,,,
10/24/2024,76.5,76.5,76.73,76.1,2.82M,0.17%,0.2%,,,,,
10/25/2024,75.2,76.47,76.6,75.16,2.73M,-1.70%,1.7%,,,,,
10/28/2024,76.51,75.72,76.98,75.54,3.85M,1.74%,1.7%,,,,,
10/29/2024,76.56,76.51,77.09,76.41,2.39M,0.07%,0.1%,,,,,
10/30/2024,75.93,76.5,76.95,75.71,4.10M,-0.82%,0.8%,,,,,
10/31/2024,75.36,75.92,76.21,75.03,3.51M,-0.75%,0.8%,,,,,
11/1/2024,75.31,75.46,76.34,75.28,3.34M,-0.07%,0.1%,,,,,
11/4/2024,75,75.35,75.62,74.3,3.99M,-0.41%,0.4%,,,,,
11/5/2024,76.01,75.16,76.21,75.1,2.58M,1.35%,1.4%,,,,,
11/6/2024,78.2,80.22,80.29,77.78,6.24M,2.88%,2.9%,,,,,
11/7/2024,77.69,77.85,78.19,77.26,3.73M,-0.65%,0.7%,,,,,
11/8/2024,77.06,78,78.14,77.06,3.18M,-0.81%,0.8%,,,,,
11/11/2024,78.68,77.99,79.13,77.82,3.20M,2.10%,2.1%,,,,,
11/12/2024,77.95,78.52,78.82,77.86,3.46M,-0.93%,0.9%,,,,,
11/13/2024,77.61,78.12,78.75,77.5,5.32M,-0.44%,0.4%,,,,,
11/14/2024,77.57,77.79,78.31,77.42,4.22M,-0.05%,0.1%,,,,,
11/15/2024,78.29,77.49,78.43,77.49,4.21M,0.93%,0.9%,,,,,
11/18/2024,78.65,78.11,78.68,77.87,2.64M,0.46%,0.5%,,,,,
11/19/2024,77.61,77.81,78.44,77.59,2.17M,-1.32%,1.3%,,,,,
11/20/2024,77.87,77.9,77.97,77.13,3.48M,0.34%,0.3%,,,,,
11/21/2024,78.88,78.5,79.2,78.11,2.84M,1.30%,1.3%,,,,,
11/22/2024,80.14,79.02,80.23,78.96,2.76M,1.60%,1.6%,,,,,
11/25/2024,81.22,80.5,81.62,80.36,5.33M,1.35%,1.4%,,,,,
11/26/2024,81.27,80.91,81.4,80.25,3.24M,0.06%,0.1%,,,,,
11/27/2024,81.74,81.49,82.08,81.24,2.82M,0.58%,0.6%,,,,,
11/29/2024,81.87,82.15,82.72,81.87,2.18M,0.16%,0.2%,,,,,
12/2/2024,81.11,82.1,82.25,80.95,2.84M,-0.93%,0.9%,,,,,
12/3/2024,80.85,81.87,82.08,80.81,2.95M,-0.32%,0.3%,,,,,
12/4/2024,80.19,80.77,80.99,79.89,2.76M,-0.82%,0.8%,,,,,
12/5/2024,81.49,80.27,82.18,80.2,3.64M,1.62%,1.6%,,,,,
12/6/2024,80.51,81.33,81.69,80.07,2.51M,-1.20%,1.2%,,,,,
12/9/2024,80.61,81.37,81.59,80.5,5.71M,0.12%,0.1%,,,,,
12/10/2024,80.62,80.63,81.02,79.97,3.61M,0.01%,0.0%,,,,,
12/11/2024,79.67,80.97,81.15,78.59,4.82M,-1.18%,1.2%,,,,,
12/12/2024,79.57,79.5,80.01,79,4.47M,-0.13%,0.1%,,,,,
12/13/2024,78.83,80.09,80.09,78.55,2.98M,-0.93%,0.9%,,,,,
12/16/2024,79.08,79.05,79.54,78.65,3.50M,0.32%,0.3%,,,,,
12/17/2024,78.45,78.66,79.28,78.28,4.06M,-0.80%,0.8%,,,,,
12/18/2024,75.82,78.24,78.53,75.78,4.65M,-3.35%,3.4%,,,,,
12/19/2024,76.41,76.6,77.48,75.87,5.81M,0.78%,0.8%,,,,,
12/20/2024,77.62,76.9,78.02,76.09,13.08M,1.58%,1.6%,,,,,
12/23/2024,77.57,76.94,77.65,76.82,2.67M,-0.06%,0.1%,,,,,
12/24/2024,78.05,77.58,78.3,77.33,1.24M,0.62%,0.6%,,,,,
12/26/2024,78.35,77.75,78.49,77.57,1.97M,0.38%,0.4%,,,,,
12/27/2024,77.57,77.91,78.46,77.08,2.07M,-1.00%,1.0%,,,,,
12/30/2024,77.11,76.74,77.31,76.22,1.89M,-0.59%,0.6%,,,,,
12/31/2024,76.83,77.33,77.49,76.63,2.38M,-0.36%,0.4%,,,,,
1/2/2025,77.41,77.24,77.93,76.91,3.44M,0.75%,0.8%,,,,,
1/3/2025,76.93,77.01,77.36,76.14,3.37M,-0.62%,0.6%,,,,,
1/6/2025,77.92,77.78,78.69,77.6,3.38M,1.29%,1.3%,,,,,
1/7/2025,77.96,78.13,78.49,77.06,4.50M,0.05%,0.1%,,,,,
1/8/2025,77.95,77.9,78.01,76.78,3.03M,-0.01%,0.0%,,,,,
1/10/2025,75.42,77.4,77.85,75.39,3.58M,-3.25%,3.3%,,,,,
1/13/2025,76.11,75.15,76.14,74.91,4.07M,0.91%,0.9%,,,,,
1/14/2025,75.94,75.97,76.74,75.72,4.69M,-0.22%,0.2%,,,,,
1/15/2025,82.04,79.1,82.14,79.1,9.27M,8.03%,8.0%,,,,,
1/16/2025,82.25,81.72,82.47,81.04,5.14M,0.26%,0.3%,,,,,
1/17/2025,83.29,82.34,83.67,81.36,4.70M,1.26%,1.3%,,,,,
1/21/2025,84.93,83.34,85,83.34,4.83M,1.97%,2.0%,,,,,
1/22/2025,84.33,84.79,85.81,83.87,4.29M,-0.71%,0.7%,,,,,
1/23/2025,84.73,84.39,85.55,84.12,4.04M,0.47%,0.5%,,,,,
1/24/2025,85.79,84.46,86.34,84.42,4.31M,1.25%,1.3%,,,,,
1/27/2025,85.9,85.2,85.93,84.72,2.96M,0.13%,0.1%,,,,,
1/28/2025,86.34,85.41,86.69,85.39,3.25M,0.51%,0.5%,,,,,
1/29/2025,86.04,85.83,87.7,85.83,3.40M,-0.35%,0.4%,,,,,
1/30/2025,86.5,86.73,87.53,86.05,2.86M,0.53%,0.5%,,,,,
1/31/2025,85.93,86.44,86.87,85.78,3.91M,-0.66%,0.7%,,,,,
2/3/2025,85.19,84.61,85.65,83.75,3.50M,-0.86%,0.9%,,,,,
2/4/2025,84.86,85.03,85.28,84.42,3.10M,-0.39%,0.4%,,,,,
2/5/2025,85.74,85.39,85.97,84.89,3.22M,1.04%,1.0%,,,,,
2/6/2025,86.4,86.31,86.5,85.83,2.48M,0.77%,0.8%,,,,,
2/7/2025,86.15,86.6,86.98,85.91,3.44M,-0.29%,0.3%,,,,,
2/10/2025,85.03,86.15,86.39,84.68,2.45M,-1.30%,1.3%,,,,,
2/11/2025,85.5,84.85,85.58,84.44,2.33M,0.55%,0.6%,,,,,
2/12/2025,85.32,84.75,85.72,84.34,2.96M,-0.21%,0.2%,,,,,
2/13/2025,86.88,85.73,87.21,85.51,3.37M,1.83%,1.8%,,,,,
2/14/2025,87.84,87.4,88.25,87.28,5.10M,1.10%,1.1%,,,,,
2/18/2025,88.9,88.87,89.44,88.11,6.67M,1.21%,1.2%,,,,,
2/19/2025,88.31,88.41,88.93,87.59,4.06M,-0.66%,0.7%,,,,,
2/20/2025,87.16,88.5,88.53,86.02,5.92M,-1.30%,1.3%,,,,,
2/21/2025,87.25,87.49,87.89,86.84,5.99M,0.10%,0.1%,,,,,
2/24/2025,88.01,87.48,88.39,86.56,6.67M,0.87%,0.9%,,,,,
2/25/2025,86.75,88.38,88.43,85.86,5.94M,-1.43%,1.4%,,,,,
2/26/2025,86.34,87.19,88.16,86.18,3.71M,-0.47%,0.5%,,,,,
2/27/2025,86.89,86.7,87.99,86.45,3.08M,0.64%,0.6%,,,,,
2/28/2025,88.95,87.2,88.95,87.06,7.19M,2.37%,2.4%,,,,,
3/3/2025,88.35,89.59,90.34,87.7,4.38M,-0.67%,0.7%,,,,,
3/4/2025,85.54,87.44,87.87,84.3,4.97M,-3.18%,3.2%,,,,,
3/5/2025,86.56,85.66,87.18,85.18,4.39M,1.19%,1.2%,,,,,
3/6/2025,84.69,85.53,86.05,83.97,3.66M,-2.16%,2.2%,,,,,
3/7/2025,85.84,84.31,86.14,83.89,6.46M,1.36%,1.4%,,,,,
3/10/2025,84.24,83.85,86.58,83.36,5.26M,-1.86%,1.9%,,,,,
3/11/2025,81.05,83.87,84.11,80.79,8.53M,-3.79%,3.8%,,,,,
3/12/2025,80.76,82,82.07,79.24,5.49M,-0.36%,0.4%,,,,,
3/13/2025,79.66,81.08,81.08,79.25,4.16M,-1.36%,1.4%,,,,,
3/14/2025,81.75,80.36,81.95,79.91,4.35M,2.62%,2.6%,,,,,
3/17/2025,82.42,81.69,83.23,81.43,4.50M,0.82%,0.8%,,,,,
3/18/2025,82.64,82.39,83.02,81.95,4.58M,0.27%,0.3%,,,,,
3/19/2025,83.9,82.8,84.44,82.19,3.75M,1.52%,1.5%,,,,,
3/20/2025,83.93,83.26,84.37,83.15,3.12M,0.04%,0.0%,,,,,
3/21/2025,83.55,83.62,84.14,82.67,9.72M,-0.45%,0.5%,,,,,
3/24/2025,84.7,84.6,85.42,84.26,2.61M,1.38%,1.4%,,,,,
3/25/2025,85.25,85.15,85.95,84.59,2.54M,0.65%,0.7%,,,,,
3/26/2025,85.09,85.62,86.07,84.63,2.45M,-0.19%,0.2%,,,,,
3/27/2025,84.48,84.94,85.22,83.86,3.17M,-0.72%,0.7%,,,,,
3/28/2025,82.71,84.24,84.85,82.48,2.64M,-2.10%,2.1%,,,,,
3/31/2025,83.87,81.81,84.31,81.34,4.25M,1.40%,1.4%,,,,,
4/1/2025,83.77,83.73,84.15,82.58,2.88M,-0.12%,0.1%,,,,,
4/2/2025,84.22,83.01,84.55,82.56,3.19M,0.54%,0.5%,,,,,
4/3/2025,79.91,81.24,81.95,79.78,5.26M,-5.12%,5.1%,,,,,
4/4/2025,73.31,77.04,78.73,72.93,6.70M,-8.26%,8.3%,,,,,
4/7/2025,74.09,71.34,76.31,70.46,7.46M,1.06%,1.1%,,,,,
4/8/2025,73.5,76.96,77.66,72.13,4.83M,-0.80%,0.8%,,,,,
4/9/2025,79.35,72.11,80.15,72.11,6.40M,7.96%,8.0%,,,,,
4/10/2025,76.61,77.63,78.52,74.63,5.39M,-3.45%,3.5%,,,,,
4/11/2025,77.67,73.61,78.67,72.5,6.80M,1.38%,1.4%,,,,,
4/14/2025,77.52,78.02,79.05,76.93,4.44M,-0.19%,0.2%,,,,,
4/15/2025,77.77,78.23,79.06,77.44,3.81M,0.32%,0.3%,,,,,
